# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Jun 20 06:02:50 2021
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN discoverymethod: Discovery Method
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
#
pl_name,hostname,sy_snum,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_insol,pl_eqt,st_teff,st_rad,st_mass,rastr,ra,decstr,dec,sy_dist
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,Imaging,,84.000000,12.300,4131.79000,,,,,0.19,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,47.2000000
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,Imaging,,52.000000,11.209,7786.50000,,1600,3530.00,0.37,0.40,01h22m51.07s,20.7128012,-24d39m52.61s,-24.6646128,33.8281000
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,Imaging,,156.000000,16.141,4417.83700,,,3064.00,0.28,0.11,02h19m22.25s,34.8427046,-39d25m23.08s,-39.4230767,40.0896412
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,Imaging,,15.000000,12.600,2383.60000,,,2936.00,0.23,0.02,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,120.4239870
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,Imaging,,55.000000,12.900,1589.15000,,1250,2825.00,0.22,0.02,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,64.3080000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,Eclipse Timing Variations,416.00000000,0.920000,13.400,603.87700,,,10868.00,0.34,0.48,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.3320000
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,Imaging,7336.50000000,,10.310,6657.48000,,2075,2300.00,0.12,0.08,21h40m29.24s,325.1218214,+16d25m16.83s,16.4213408,33.1156898
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,Imaging,,230.000000,12.300,3972.87500,,,4045.00,0.64,0.60,22h36m24.62s,339.1025931,+47d51m42.06s,47.8616830,69.5737000
30 Ari B b,30 Ari B,4,Radial Velocity,335.10001000,0.990000,12.300,4392.41060,,,6331.00,1.41,1.93,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,44.6570000
4 UMa b,4 UMa,1,Radial Velocity,269.30000000,0.870000,12.700,2256.50000,,,4415.00,18.11,1.23,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,73.4603000
42 Dra b,42 Dra,2,Radial Velocity,479.10000000,1.190000,13.000,1233.13000,,,4200.00,22.03,0.98,18h25m59.40s,276.4975053,+65d33m48.11s,65.5633652,90.6545000
47 UMa b,47 UMa,1,Radial Velocity,1078.00000000,2.100000,13.200,804.08000,,,5872.00,1.21,1.06,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000
47 UMa c,47 UMa,1,Radial Velocity,2391.00000000,3.600000,14.200,171.62100,,,5872.00,1.21,1.06,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000
47 UMa d,47 UMa,1,Radial Velocity,14002.00000000,11.600000,13.500,521.22000,,,5872.00,1.21,1.06,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000
51 Eri b,51 Eri,3,Imaging,11688.00000000,13.200000,13.400,635.66000,,700,7295.00,1.49,1.75,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,29.7575000
51 Peg b,51 Peg,1,Radial Velocity,4.23078500,0.052700,14.300,146.20180,,,5758.00,1.18,1.03,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.4614000
55 Cnc b,55 Cnc,2,Radial Velocity,14.65160000,0.113400,13.900,263.97850,,700,5172.00,0.94,0.91,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc c,55 Cnc,2,Radial Velocity,44.39890000,0.237300,8.510,54.47380,,,5172.00,0.94,0.91,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc d,55 Cnc,2,Radial Velocity,5574.20000000,5.957000,13.000,1232.49300,,,5172.00,0.94,0.91,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc e,55 Cnc,2,Radial Velocity,0.73654740,0.015440,1.875,7.99000,,1958,5172.00,0.94,0.91,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
55 Cnc f,55 Cnc,2,Radial Velocity,259.88000000,0.770800,7.590,44.81200,,,5172.00,0.94,0.91,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000
6 Lyn b,6 Lyn,1,Radial Velocity,934.30000000,2.110000,13.400,638.83830,,,4938.00,5.20,1.44,06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753,54.6599000
61 Vir b,61 Vir,1,Radial Velocity,4.21500000,0.050201,2.110,5.10000,,,5577.00,0.96,0.94,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200
61 Vir c,61 Vir,1,Radial Velocity,38.02100000,0.217500,4.460,18.20000,,,5577.00,0.96,0.94,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200
61 Vir d,61 Vir,1,Radial Velocity,123.01000000,0.476000,5.110,22.90000,,,5577.00,0.96,0.94,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200
7 CMa b,7 CMa,1,Radial Velocity,735.10000000,1.758000,13.400,587.98550,,,4826.00,4.87,1.34,06h36m41.11s,99.1712760,-19d15m22.25s,-19.2561808,19.8101000
7 CMa c,7 CMa,1,Radial Velocity,996.00000000,2.153000,13.900,276.51210,,,4826.00,4.87,1.34,06h36m41.11s,99.1712760,-19d15m22.25s,-19.2561808,19.8101000
70 Vir b,70 Vir,1,Radial Velocity,116.68800000,0.481000,12.600,2380.45000,,,5495.00,1.89,1.09,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,17.9011000
75 Cet b,75 Cet,2,Radial Velocity,691.90000000,2.100000,13.100,953.49000,,,4846.00,10.50,2.49,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613000
8 UMi b,8 UMi,1,Radial Velocity,93.40000000,0.490000,13.600,416.35730,,,4847.00,10.30,1.44,14h56m48.40s,224.2016850,+74d54m03.38s,74.9009379,162.5520000
81 Cet b,81 Cet,1,Radial Velocity,952.70000000,2.500000,12.800,1684.40000,,,4785.00,11.00,2.40,02h37m41.85s,39.4243555,-03d23m46.90s,-3.3963607,101.2600000
91 Aqr b,91 Aqr,3,Radial Velocity,181.40000000,0.700000,13.100,1017.00000,,,4665.00,11.00,1.40,23h15m53.88s,348.9745031,-09d05m16.11s,-9.0878076,44.0304000
AB Pic b,AB Pic,1,Imaging,,260.000000,12.300,4290.50000,,,5285.00,1.00,0.90,06h19m12.94s,94.8039208,-58d03m14.83s,-58.0541184,50.0475000
AU Mic b,AU Mic,1,Transit,8.46321000,0.066000,4.203,57.20940,,,3700.00,0.75,0.50,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000
BD+03 2562 b,BD+03 2562,1,Radial Velocity,481.90000000,1.300000,12.700,2034.11200,,,4095.00,32.35,1.14,11h50m15.53s,177.5647268,+02d45m36.39s,2.7601075,1070.6300000
BD+14 4559 b,BD+14 4559,1,Radial Velocity,268.94000000,0.780000,13.800,330.54320,,,4864.00,0.86,0.49,21h13m36.24s,318.4010002,+14d41m21.78s,14.6893834,49.3520000
BD+15 2375 b,BD+15 2375,1,Radial Velocity,153.22000000,0.576000,13.800,337.21763,,,4649.00,8.95,1.08,11h45m55.69s,176.4820239,+14d36m58.75s,14.6163182,768.0450000
BD+15 2940 b,BD+15 2940,1,Radial Velocity,137.48000000,0.539000,13.700,352.78000,,,4796.00,14.70,1.10,16h00m22.95s,240.0956400,+15d32m48.30s,15.5467507,426.4200000
BD+20 2457 b,BD+20 2457,1,Radial Velocity,379.63000000,1.050000,11.600,17668.16970,,,4259.00,71.02,10.83,10h16m44.83s,154.1867820,+19d53m28.55s,19.8912626,1539.7100000
BD+20 2457 c,BD+20 2457,1,Radial Velocity,621.99000000,2.010000,12.400,3963.17000,,,4137.00,49.00,2.80,10h16m44.83s,154.1867820,+19d53m28.55s,19.8912626,1539.7100000
BD+20 274 b,BD+20 274,1,Radial Velocity,578.20000000,1.300000,13.000,1334.88600,,,4296.00,17.30,0.80,01h43m40.88s,25.9203179,+21d00m18.97s,21.0052692,1322.5100000
BD+20 594 b,BD+20 594,1,Transit,41.68550000,0.241000,2.578,22.24810,,546,5766.00,1.08,1.67,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.4610000
BD+45 564 b,BD+45 564,1,Radial Velocity,307.88000000,0.830000,13.600,432.24663,,,5004.00,0.81,0.81,02h11m47.29s,32.9470485,+45d55m27.19s,45.9242187,53.6220000
BD+48 738 b,BD+48 738,1,Radial Velocity,392.60000000,1.000000,13.900,289.22530,,,4414.00,11.00,0.74,02h42m50.47s,40.7102869,+49d35m12.98s,49.5869395,871.4930000
BD+48 740 b,BD+48 740,1,Radial Velocity,733.00000000,1.700000,13.500,540.31100,,,4534.00,10.33,1.09,02h42m58.21s,40.7425426,+48d55m48.21s,48.9300579,666.5890000
BD+49 828 b,BD+49 828,1,Radial Velocity,2590.00000000,4.200000,13.500,508.50000,,,4943.00,7.60,1.52,03h02m33.75s,45.6406187,+49d43m47.81s,49.7299481,442.0420000
BD+55 362 b,BD+55 362,1,Radial Velocity,265.59000000,0.780000,14.000,228.83645,,,5012.00,0.90,0.91,01h35m51.28s,23.9636676,+56d41m53.62s,56.6982282,52.5697000
BD+63 1405 b,BD+63 1405,1,Radial Velocity,1198.48000000,2.060000,13.000,1258.60049,,,5000.00,0.80,0.82,18h05m35.50s,271.3979337,+63d40m12.02s,63.6700064,38.0473000
BD-00 4475 b,BD-00 4475,1,Radial Velocity,723.20000000,1.480000,12.000,7961.60160,,,5040.00,0.84,0.81,23h10m50.60s,347.7108441,+00d24m30.82s,0.4085612,42.6402000
BD-06 1339 b,BD-06 1339,1,Radial Velocity,3.87280000,0.042800,2.850,8.50000,,,4324.00,0.69,0.70,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,20.2695000
BD-06 1339 c,BD-06 1339,1,Radial Velocity,125.94000000,0.435000,8.380,53.00000,,,4324.00,0.69,0.70,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,20.2695000
BD-08 2823 b,BD-08 2823,1,Radial Velocity,5.60000000,0.060000,3.610,12.71320,,,4816.00,0.71,0.50,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342000
BD-08 2823 c,BD-08 2823,1,Radial Velocity,237.60000000,0.680000,12.500,104.00000,,,4746.00,0.72,0.74,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342000
BD-10 3166 b,BD-10 3166,1,Radial Velocity,3.48777000,0.040000,14.100,187.51970,,,5393.00,0.91,1.47,10h58m28.59s,164.6191243,-10d46m13.52s,-10.7704227,84.4069000
BD-11 4672 b,BD-11 4672,1,Radial Velocity,1634.00000000,2.360000,14.100,206.58950,,,4550.00,0.64,0.65,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,27.1665000
BD-11 4672 c,BD-11 4672,1,Radial Velocity,74.20000000,0.300000,4.040,15.37000,,,4550.00,0.64,0.65,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,27.1665000
BD-13 2130 b,BD-13 2130,1,Radial Velocity,714.29999000,1.660000,12.500,3108.37740,,,4545.00,19.17,2.12,07h37m09.23s,114.2884692,-13d54m24.01s,-13.9066703,925.2140000
BD-17 63 b,BD-17 63,1,Radial Velocity,655.60000000,1.340000,12.800,1620.90000,,,4714.00,0.69,0.74,00h28m33.92s,7.1413494,-16d13m38.37s,-16.2273254,34.4603000
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,Imaging,10037.50000000,2.600000,12.400,3337.10000,,370,580.50,,0.02,14h58m29.00s,224.6208333,+10d13m43.0s,10.2286111,23.1000000
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,Imaging,8040000.00000000,200.000000,20.849,2479.06157,,1800,2320.00,0.24,0.01,16h27m44.23s,246.9342770,-23d58m52.14s,-23.9811500,
CHXR 73 b,CHXR 73,1,Imaging,,210.000000,12.300,3994.48600,,,3099.00,,0.35,11h06m28.66s,166.6193985,-77d37m33.14s,-77.6258725,190.3740000
CI Tau b,CI Tau,1,Radial Velocity,8.98910000,,12.400,3686.82800,,,3807.00,1.88,0.90,04h33m52.02s,68.4667685,+22d50m29.83s,22.8416192,157.9980000
CT Cha b,CT Cha,1,Imaging,,440.000000,24.660,5403.00000,,2600,4403.00,1.68,,11h04m09.00s,166.0375038,-76d27m19.33s,-76.4553693,190.7200000
CoRoT-1 b,CoRoT-1,1,Transit,1.50895570,0.027520,16.700,327.35000,,1898,5950.00,1.11,0.95,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394,787.9090000
CoRoT-10 b,CoRoT-10,1,Transit,13.24060000,0.105500,10.870,874.00000,,600,5075.00,0.79,0.89,19h24m15.28s,291.0636813,+00d44m45.65s,0.7460143,338.3860000
CoRoT-11 b,CoRoT-11,1,Transit,2.99433000,0.043600,16.030,740.51000,,1657,6440.00,1.37,1.27,18h42m44.95s,280.6872998,+05d56m15.57s,5.9376586,655.0370000
CoRoT-12 b,CoRoT-12,1,Transit,2.82804200,0.040160,16.140,291.43800,,1442,5675.00,1.12,1.08,06h43m03.76s,100.7656871,-01d17m47.20s,-1.2964437,1126.3700000
CoRoT-13 b,CoRoT-13,1,Transit,4.03519000,0.051000,9.920,415.70400,,1700,5945.00,1.01,1.09,06h50m53.07s,102.7211432,-05d05m11.24s,-5.0864557,1148.9300000
CoRoT-14 b,CoRoT-14,1,Transit,1.51214000,0.027000,12.220,2415.40000,,1952,6035.00,1.21,1.13,06h53m41.81s,103.4242023,-05d32m09.74s,-5.5360385,1744.6000000
CoRoT-16 b,CoRoT-16,1,Transit,5.35227000,0.061800,13.110,170.03200,,,5650.00,1.19,1.10,18h34m05.92s,278.5246658,-06d00m09.37s,-6.0026026,732.4090000
CoRoT-17 b,CoRoT-17,1,Transit,3.76810000,0.046100,11.430,772.29000,,1626,5740.00,1.59,1.04,18h34m47.82s,278.6992360,-06d36m44.24s,-6.6122880,1176.1200000
CoRoT-18 b,CoRoT-18,1,Transit,1.90006930,0.029500,14.680,1102.82000,,1550,5440.00,1.00,0.95,06h32m41.38s,98.1724172,-00d01m53.78s,-0.0316045,764.8890000
CoRoT-19 b,CoRoT-19,1,Transit,3.89713000,0.051800,14.460,352.78000,,2000,6090.00,1.65,1.21,06h28m08.06s,97.0335983,-00d10m14.63s,-0.1707293,790.6630000
CoRoT-2 b,CoRoT-2,2,Transit,1.74299350,0.027980,16.432,1102.82000,,1521,5625.00,0.91,0.96,19h27m06.49s,291.7770457,+01d23m01.19s,1.3836634,213.2830000
CoRoT-20 b,CoRoT-20,1,Transit,9.24285000,0.090000,9.416,1366.66900,,1024,5880.00,1.02,1.14,06h30m52.90s,97.7204249,+00d13m36.82s,0.2268931,844.0610000
CoRoT-20 c,CoRoT-20,1,Radial Velocity,1675.00000000,2.900000,12.200,5403.11000,,,4947.50,1.37,1.14,06h30m52.90s,97.7204249,+00d13m36.82s,0.2268931,844.0610000
CoRoT-21 b,CoRoT-21,1,Transit,2.72474000,0.041700,14.572,718.29580,,,6200.00,1.95,1.29,06h44m12.63s,101.0526207,-00d17m56.96s,-0.2991544,1398.8341969
CoRoT-22 b,CoRoT-22,1,Transit,9.75598000,0.092000,4.880,12.20000,,885,5939.00,1.14,1.10,18h42m40.11s,280.6671392,+06d13m09.00s,6.2191669,627.1580000
CoRoT-23 b,CoRoT-23,1,Transit,3.63130000,0.048000,11.770,889.90000,,1660,5900.00,1.61,1.14,18h39m07.84s,279.7826586,+04d21m27.91s,4.3577516,1060.9700000
CoRoT-24 b,CoRoT-24,1,Transit,5.11340000,0.056000,3.700,5.70000,,1070,4950.00,0.86,0.91,06h47m41.41s,101.9225430,-03d43m09.44s,-3.7192892,591.5550000
CoRoT-24 c,CoRoT-24,1,Transit,11.75900000,0.098000,5.000,28.00000,,850,4950.00,0.86,0.91,06h47m41.41s,101.9225430,-03d43m09.44s,-3.7192892,591.5550000
CoRoT-25 b,CoRoT-25,1,Transit,4.86069000,0.057800,12.110,85.81000,,1330,6040.00,1.19,1.09,18h42m31.12s,280.6296561,+06d30m49.76s,6.5138223,1103.4800000
CoRoT-26 b,CoRoT-26,1,Transit,4.20474000,0.052600,14.120,165.26000,,1600,5590.00,1.79,1.09,18h39m00.12s,279.7504991,+06d58m11.22s,6.9697828,1045.1800000
CoRoT-27 b,CoRoT-27,1,Transit,3.57532000,0.047600,11.287,3302.11000,,1500,5900.00,1.08,1.05,18h33m59.00s,278.4958319,+05d32m18.17s,5.5383811,1010.2800000
CoRoT-28 b,CoRoT-28,1,Transit,5.20851000,0.060300,10.705,153.82972,,,5150.00,1.78,1.01,18h34m45.20s,278.6883216,+05d34m25.29s,5.5736911,766.1830000
CoRoT-29 b,CoRoT-29,1,Transit,2.85057000,0.038600,10.088,270.15550,,,5260.00,0.90,0.97,18h35m36.50s,278.9020691,+06d28m46.45s,6.4795703,806.5070000
CoRoT-3 b,CoRoT-3,1,Transit,4.25680000,0.057830,11.320,6883.91000,,1695,6740.00,1.56,1.37,19h28m13.27s,292.0552827,+00d07m18.61s,0.1218359,768.7710000
CoRoT-30 b,CoRoT-30,1,Transit,9.06005000,0.084400,11.310,921.70700,,,5650.00,0.91,0.98,18h30m24.28s,277.6011767,+06d50m09.36s,6.8359338,1032.2300000
CoRoT-31 b,CoRoT-31,1,Transit,4.62941000,0.058600,16.365,266.97720,,,5700.00,2.15,1.25,06h19m16.98s,94.8207350,-04d25m20.27s,-4.4222978,2005.7600000
CoRoT-4 b,CoRoT-4,1,Transit,9.20205000,0.090000,13.340,228.83000,,1074,6190.00,1.17,1.16,06h48m46.71s,102.1946233,-00d40m22.03s,-0.6727861,726.4120000
CoRoT-5 b,CoRoT-5,1,Transit,4.03789620,0.049470,15.558,148.42000,,1438,6100.00,1.19,1.00,06h45m06.54s,101.2772396,+00d48m54.78s,0.8152163,882.4720000
CoRoT-6 b,CoRoT-6,1,Transit,8.88659300,0.085500,13.068,940.74000,,1017,6090.00,1.02,1.05,18h44m17.41s,281.0725563,+06d39m47.54s,6.6632062,645.2940000
CoRoT-7 b,CoRoT-7,1,Transit,0.85359163,0.017016,1.681,4.07661,,1756,5275.00,0.83,0.82,06h43m49.48s,100.9561682,-01d03m46.83s,-1.0630076,159.9060000
CoRoT-7 c,CoRoT-7,1,Radial Velocity,3.69800000,0.046000,2.830,8.40000,,,5256.00,0.86,0.90,06h43m49.48s,100.9561682,-01d03m46.83s,-1.0630076,159.9060000
CoRoT-8 b,CoRoT-8,1,Transit,6.21229000,0.063000,6.390,69.92000,,870,5080.00,0.77,0.88,19h26m21.26s,291.5885696,+01d25m34.67s,1.4262972,322.0370000
CoRoT-9 b,CoRoT-9,2,Transit,95.27265600,0.402100,11.949,266.97720,,420,5625.00,0.96,0.96,18h43m08.80s,280.7866461,+06d12m14.68s,6.2040783,412.9800000
CoRoTID 223977153 b,CoRoTID 223977153,1,Transit,6.71837000,0.071000,6.389,47.67450,132.26,938,5970.00,0.79,1.08,06h40m46.84s,100.1951714,+09d15m26.62s,9.2573953,576.6830000
DE CVn b,DE CVn,2,Eclipse Timing Variations,4098.10000000,5.750000,12.400,3823.27330,,,3579.00,0.42,0.51,13h26m52.97s,201.7207198,+45d32m43.96s,45.5455449,30.5225000
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,Astrometry,246.36000000,0.360000,11.900,9057.77000,,,,,0.07,08h23m02.90s,125.7620668,-49d12m01.08s,-49.2003008,20.7700000
DH Tau b,DH Tau,1,Imaging,,330.000000,30.264,3496.00000,,2200,4371.00,0.27,0.33,04h29m41.56s,67.4231674,+26d32m57.80s,26.5493897,134.8460000
DMPP-1 b,DMPP-1,1,Radial Velocity,18.57000000,0.146200,5.290,24.27000,,877,6196.00,1.26,1.21,05h47m06.27s,86.7761233,-10d37m49.16s,-10.6303217,62.5388000
DMPP-1 c,DMPP-1,1,Radial Velocity,6.58400000,0.073300,3.060,9.60000,,1239,6196.00,1.26,1.21,05h47m06.27s,86.7761233,-10d37m49.16s,-10.6303217,62.5388000
DMPP-1 d,DMPP-1,1,Radial Velocity,2.88200000,0.042200,1.650,3.35000,,1632,6196.00,1.26,1.21,05h47m06.27s,86.7761233,-10d37m49.16s,-10.6303217,62.5388000
DMPP-1 e,DMPP-1,1,Radial Velocity,5.51600000,0.065100,1.860,4.13000,,1314,6196.00,1.26,1.21,05h47m06.27s,86.7761233,-10d37m49.16s,-10.6303217,62.5388000
DMPP-2 b,DMPP-2,1,Radial Velocity,5.20720000,0.066400,14.300,138.89171,,1000,6500.00,1.78,1.44,01h49m37.86s,27.4077310,-34d27m32.75s,-34.4590985,137.9400000
DMPP-3 A b,DMPP-3 A,2,Radial Velocity,6.67320000,0.066200,1.410,2.58000,,854,5138.00,0.91,0.87,06h06m29.85s,91.6243820,-72d30m45.6s,-72.5126648,45.2300000
DP Leo b,DP Leo,2,Eclipse Timing Variations,10220.00000000,8.190000,12.700,1995.88832,,,13500.00,0.01,0.69,11h17m15.89s,169.3162193,+17d57m41.66s,17.9615717,305.6840000
DS Tuc A b,DS Tuc A,2,Transit,8.13826800,,5.700,413.17900,145.10,850,5428.00,0.96,1.01,23h39m39.71s,354.9154673,-69d11m45.75s,-69.1960430,44.0622000
EPIC 201170410.02,EPIC 201170410,1,Transit,6.79870000,0.034900,1.047,1.15000,,,3648.00,0.28,0.29,11h20m33.81s,170.1408561,-04d48m25.21s,-4.8070039,134.0000000
EPIC 201238110 b,EPIC 201238110,1,Transit,28.16560000,,1.870,4.16000,,,3587.00,0.37,0.41,11h58m49.40s,179.7058532,-03d23m22.06s,-3.3894613,159.2590000
EPIC 201497682 b,EPIC 201497682,1,Transit,2.13174000,,0.692,0.26000,,,4991.00,0.55,0.78,11h15m44.80s,168.9366786,+00d29m17.02s,0.4880606,253.0260000
EPIC 201615463 c,K2-166,1,Transit,3.80464000,,1.220,1.98000,,,5942.50,1.60,1.07,12h20m45.14s,185.1880932,+02d16m56.56s,2.2823788,476.8820000
EPIC 201754305 d,K2-16,1,Transit,2.71578000,,1.030,1.08000,,,4761.00,0.54,0.67,11h40m23.33s,175.0972238,+04d33m26.75s,4.5574311,334.9670000
EPIC 201757695.02,EPIC 201757695,1,Transit,2.04780000,0.029600,0.908,0.68800,,,4520.00,0.66,0.73,11h35m45.24s,173.9385102,+04d36m59.15s,4.6164303,577.6000000
EPIC 201833600 c,K2-50,1,Transit,3.96151000,,1.000,0.97200,,,4292.67,0.63,0.61,11h17m56.08s,169.4836540,+05d59m17.84s,5.9882890,257.4430000
EPIC 201841433 b,EPIC 201841433,1,Transit,4.16980000,0.035000,1.040,1.12000,,,5053.00,0.63,0.80,11h40m49.62s,175.2067520,+06d08m05.33s,6.1348146,436.4880000
EPIC 205950854 c,K2-168,1,Transit,8.05072200,,1.310,2.27000,,961,5502.70,0.83,0.88,22h12m26.42s,333.1100738,-16d20m30.79s,-16.3418863,243.9350000
EPIC 206024342 b,EPIC 206024342,1,Transit,4.50756000,,1.700,3.53000,,,5759.00,0.82,0.93,22h05m06.51s,331.2771441,-14d07m18.49s,-14.1218019,369.8880000
EPIC 206032309 b,EPIC 206032309,1,Transit,2.87814000,,1.010,1.01000,,,3489.00,0.37,0.22,22h44m57.71s,341.2404563,-13d54m04.04s,-13.9011223,161.3650000
